hsa-let-7g,hsa-miR-141,hsa-miR-200a,AAGAB,AAK1,ABCA2,ABCF2,ABCG2,ABHD11,ABL1,ABL2,ABLIM1,ACAA1,ACOT11,ACOT4,ACSL4,ACTR3,ACVR1B
6.99,11.34,10.155,7.756584,5.097306,6.555168,5.960866,6.47544,9.41224,7.662248,7.3447055,6.4423415,6.673602,6.650667,5.110593,3.581184,7.650838,7.860684
7.13,10.45,10.195,6.944575,6.130349,5.363816,5.991049,5.056042,7.468362,7.374864,6.794201,7.540098,6.839056,6.748865,4.206271,3.955065,9.483906,7.915242
6.8,11.04,11.785,7.383854,6.140607,5.720546,6.329749,7.841245,8.407621,7.370497,6.9100205,7.691433,7.415346,7.170987,8.013163,3.55593,8.569694,7.981136
7.14,12.69,10.795,7.86065,6.652012,5.086769,5.51805,7.242005,7.755567,7.30783,6.3976345,7.9088255,6.869438,6.764751,4.542871,4.472169,8.117653,8.12868
6.96,11.08,9.665,7.262685,5.906802,5.685736,6.121107,5.13475,8.327956,7.648813,6.7539735,7.72842,6.674475,7.032458,5.438259,4.353194,7.993258,7.854147
7.13,11.18,11.63,7.436811,5.571508,5.310279,5.538574,6.305142,7.947066,7.628145,6.3369315,8.1429355,6.905155,7.379181,5.020791,4.414245,8.622863,8.444566
6.43,9.03,9.13,7.223271,5.787136,6.586035,5.448181,5.107942,8.715198,7.78978,6.300537,6.584174,6.989475,6.008308,6.371029,2.940336,7.783456,8.074789
6.9,10.19,9.315,6.815511,6.486916,5.445436,6.106196,5.24625,8.573502,6.845953,7.415158,7.9900285,7.227859,6.631221,6.32498,4.600329,8.6243,7.743943
6.85,11.15,11.795,7.028777,5.854968,5.579337,6.115896,9.235352,9.848148,7.517988,6.198928,7.6332025,7.180425,7.116739,5.153118,3.745884,7.970999,7.393784
7.21,10.91,10.16,7.450692,5.998712,5.769208,6.579958,5.298087,9.321351,7.550276,6.538489,7.0680875,7.543085,6.784041,5.678389,4.174617,7.87097,7.353212
7.08,11.69,11.555,7.253187,5.546788,5.821728,5.942214,7.692447,8.7455,7.556495,6.531972,7.3165525,7.556415,6.597336,5.706887,4.750837,8.109091,7.876732
6.7,6.72,8.86,6.736847,6.863807,5.437843,6.3828,5.304569,7.949882,8.386788,7.9182075,7.6362595,6.311063,6.438084,4.416565,5.482346,9.033585,7.900818
6.71,6.42,6.375,6.706961,6.778211,5.635049,6.048313,6.002883,6.849768,8.659815,7.460645,5.24081,6.189952,6.183134,4.250217,4.808457,9.964264,6.795971
6.57,6.44,6.37,6.732659,6.346722,5.073534,6.58424,5.731027,7.963363,7.035318,6.711729,5.935393,6.662687,6.510786,4.469983,4.740164,7.864838,7.355939
6.52,6.45,7.42,6.234017,6.14891,5.631665,6.286449,5.399319,7.673426,8.645315,8.1442705,6.9103305,5.573525,6.788436,4.650134,3.934277,8.739486,7.282132
6.64,6.37,6.315,6.152719,6.582235,5.76077,6.19754,5.527813,7.295242,9.496176,7.584983,5.4358645,6.506737,6.74397,4.623553,5.40789,9.060435,6.949631
6.67,6.48,6.345,7.062617,7.433421,5.303563,6.751022,5.614743,7.421196,7.979329,8.049744,6.2058705,7.63948,6.447178,4.288794,4.568299,8.806066,7.631221
6.59,9.18,7.835,7.004017,6.346211,5.49352,6.36748,5.039771,8.446786,7.858245,8.1850165,7.2014175,6.595953,6.481249,4.428673,4.379803,9.150195,9.071917
6.95,6.37,6.365,6.831142,6.901404,5.029057,6.779255,5.83303,7.512284,8.146513,7.522732,5.521492,7.31112,6.62343,4.634392,4.139988,8.286032,7.477966
6.72,6.76,9.345,7.210714,6.595472,5.405084,6.615815,6.121732,7.575318,8.309375,7.9395125,6.9301145,6.884026,6.579764,4.315113,4.945409,9.15523,7.429464
6.67,6.36,6.305,7.369531,6.652316,4.986993,5.48568,4.944817,7.194069,9.117575,8.587423,6.491175,5.775299,6.437562,4.025968,5.870769,9.730363,6.950643
6.55,6.77,9.415,6.632178,7.033541,5.145208,6.017602,5.366955,7.385147,8.391291,7.810297,6.7123725,5.839343,6.525925,4.493846,5.079768,9.893931,7.390494
6.63,6.46,6.51,6.497869,7.06556,5.036095,6.771636,7.097312,7.793115,7.992006,7.5623315,6.2114615,6.621869,5.987684,4.295823,4.424206,8.263413,7.427894
6.75,6.41,6.385,6.209493,6.457368,5.440349,6.281838,5.529153,7.22634,7.371518,7.934554,5.4568,6.276135,6.544059,4.531667,5.738319,8.235647,7.315728
6.71,6.47,6.415,6.818568,6.706579,5.376785,6.296179,4.917622,8.335,8.193462,6.9183895,6.007963,7.450821,6.375492,4.26284,4.462925,9.552055,7.040675
6.52,6.51,6.745,5.816557,6.603295,5.305591,6.130872,5.635815,8.156161,7.386137,7.107888,6.870132,6.4878,6.671464,4.360385,4.887003,8.393806,7.561361
6.52,6.38,6.305,6.477766,6.666246,5.280712,6.521974,5.378178,8.313919,7.307367,8.976032,5.912237,6.955503,6.374142,4.712704,4.388751,8.323763,7.405645
6.69,6.47,6.39,7.000611,6.61422,5.40752,6.067297,5.390375,7.374924,7.785613,8.118685,5.962438,6.968076,6.480295,4.1983,4.980954,9.142204,7.477966
6.96,10.99,10.16,6.9351,7.086009,5.670399,5.913089,5.194137,7.94584,7.865542,7.192205,7.0036815,6.157844,6.444639,4.186235,4.109726,8.836747,7.757367
7.4,7.84,10.12,7.090545,5.982627,5.193693,6.182481,4.980835,7.748842,7.816813,7.883414,6.4543845,7.03464,6.835552,4.107575,4.537989,8.624401,8.389677
6.78,6.3,6.28,7.072115,5.792155,5.89005,6.397277,5.298387,7.430334,7.413198,7.612676,6.610919,6.920856,6.814456,4.087469,5.130687,9.335004,7.324208
6.82,6.41,6.335,6.704529,6.699686,5.304393,6.189862,5.078213,8.136382,8.393781,8.2039885,7.412739,5.904692,6.667423,4.216469,3.461859,8.422843,7.386232
6.53,6.17,6.805,6.970345,6.529992,5.288883,6.577064,5.426603,8.055774,8.488732,8.539027,7.54828,5.933923,6.771535,4.918908,6.013392,9.766858,7.125238
6.93,6.42,6.34,6.919536,6.08935,5.695327,6.323903,5.64406,7.885913,7.711778,7.735164,6.090974,6.093519,6.732678,4.384101,5.16982,9.229884,6.997437
6.55,6.4,6.335,7.30486,7.36954,5.254573,5.651817,5.157631,6.949449,7.300125,7.888331,5.079554,7.328171,6.30286,4.660555,4.729983,9.540952,7.39329
6.62,6.51,6.34,7.200578,6.661309,5.10201,6.676342,8.187271,7.992807,8.185442,6.7034035,6.2338535,6.397566,6.525877,4.177247,5.266274,9.073637,7.448638
6.38,6.44,6.39,7.427581,5.74378,5.310552,7.244419,4.911864,7.60525,9.444621,7.681278,5.3480475,6.89966,6.41371,5.189872,4.532132,9.405652,7.107381
6.83,6.47,6.465,6.488338,6.719437,5.487189,5.963994,5.173507,7.397348,8.357996,7.319286,6.7176265,6.183022,6.2176,3.962604,6.102673,9.432047,6.967079
6.63,6.48,6.4,7.57935,6.684419,5.040066,6.201899,4.880213,7.916824,8.366629,7.121148,6.3787795,6.49753,6.455572,4.068422,5.502605,9.347752,7.07316
6.9,6.57,7.285,7.31108,6.798184,5.12851,6.261912,5.576041,7.341069,7.900622,7.5167825,6.2320395,6.283133,6.59899,5.810228,5.230734,9.231309,7.992092
6.4,6.51,7.77,6.610408,6.206828,5.369984,6.528974,5.008354,7.201878,8.28823,8.3099745,6.7957815,5.291133,6.508183,4.647305,5.020502,9.051402,7.481261
6.79,6.4,6.525,6.711126,6.161284,5.830548,6.286449,5.288104,7.563856,8.136965,7.9799825,6.076496,6.20086,6.828606,5.100562,5.218289,9.238281,7.618798
6.9,6.51,7.525,6.389252,6.127628,5.637984,6.682829,5.010732,7.960894,7.932731,7.1089045,6.865821,6.893384,6.790984,4.663779,4.183999,7.993269,7.344409
6.44,6.42,7.105,7.236798,5.85044,5.169967,6.46158,4.961166,7.326961,9.417626,6.800185,5.229108,6.293258,6.579764,4.11919,5.625856,9.272426,7.570099
6.47,6.38,6.39,7.419177,6.477297,5.81971,6.464842,5.22766,7.296318,7.968553,7.5075715,5.493448,6.978315,6.415336,4.179868,5.894742,9.313082,7.657434
6.82,6.39,6.34,7.679814,7.421822,4.900707,6.495788,5.155357,7.733824,8.341611,6.6651195,6.0783325,7.047765,6.267538,5.125478,5.522261,9.626772,7.423625
6.56,6.42,6.335,6.443257,6.359501,5.380678,6.446733,5.450772,6.918252,9.164311,7.3475805,6.535731,6.259687,6.525771,3.739863,5.399734,9.093865,7.26057
