miRNA,cell,platform,Series
hsa-miR-34b,HCT116,Microarray,GSE10455
hsa-miR-34c,HCT116,Microarray,GSE10455
hsa-miR-205,DU145,Microarray,GSE11701
hsa-miR-124,HeLa,Microarray,GSE11968
hsa-miR-1,HeLa,Microarray,GSE11968
hsa-miR-181a,HeLa,Microarray,GSE11968
hsa-miR-34c,HCT116,Microarray,GSE10455
hsa-miR-98,UCI101,Microarray,GSE12615
hsa-miR-424,UCI101,Microarray,GSE12615
hsa-let-7a,UCI101,Microarray,GSE12615
hsa-let-7f,UCI101,Microarray,GSE12615
hsa-miR-34c,HCT116,Microarray,GSE10455
hsa-miR-98,UCI101,Microarray,GSE12615
hsa-miR-424,UCI101,Microarray,GSE12615
hsa-let-7a,UCI101,Microarray,GSE12615
hsa-let-7f,UCI101,Microarray,GSE12615
hsa-miR-192,HCT116,Microarray,GSE13105
hsa-miR-215,HCT116,Microarray,GSE13105
hsa-miR-155,CCL153,Microarray,GSE14477
hsa-miR-17-5p,HCT116,Microarray,GSE12615
hsa-miR-20a,HCT116,Microarray,GSE12615
hsa-miR-106b,HCT116,Microarray,GSE12615
hsa-miR-106a,HCT116,Microarray,GSE12615
hsa-miR-17-3p,HCT116,Microarray,GSE12615
hsa-miR-9,MCF-7,Microarray,GSE15749
hsa-miR-9*,MCF-7,Microarray,GSE15749
hsa-miR-9,MCF-7,Microarray,GSE15749
hsa-miR-22,ES-2 ovarian cancer cell line,Microarray,GSE16568
hsa-miR-100,OVSAYO ovarian cancer cell,Microarray,GSE16571
hsa-miR-34a,K562,Microarray,GSE16674
hsa-miR-31,OVCAR-8 ovarian cancer cell line,Microarray,GSE16700
hsa-miR-31,OVCAR-8 ovarian cancer cell line,Microarray,GSE16700
hsa-miR-210,HUVEC,Microarray,GSE16962
hsa-miR-26a,MCF-7,Microarray,GSE17460
hsa-miR-193b,Malme-3M,Microarray,GSE18510
hsa-miR-200a,HeLa,Microarray,GSE18545
hsa-miR-9,MCF-7,Microarray,GSE15749
hsa-miR-145,DLD-1,Microarray,GSE18625
hsa-miR-210,HUVEC,Microarray,GSE16962
hsa-miR-34a,K562,Microarray,GSE16674
hsa-miR-129-5p,TCP1,Microarray,GSE19933
hsa-miR-30e-3p,SNB19,Microarray,GSE20293
hsa-miR-30e-3p,SNB19,Microarray,GSE20293
hsa-miR-100,OVSAYO ovarian cancer cell,Microarray,GSE16571
hsa-miR-517a,Huh-7,Microarray,GSE20679
hsa-miR-17,HUVEC,Microarray,GSE20745
hsa-miR-1,HeLa,Microarray,GSE11968
hsa-miR-124,HeLa,Microarray,GSE11968
hsa-miR-373,HeLa,Microarray,GSE2075
hsa-miR-34a,K562,Microarray,GSE16674
hsa-miR-1,HeLa,Microarray,GSE11968
hsa-miR-155,CCL153,Microarray,GSE14477
hsa-miR-34a,K562,Microarray,GSE16674
hsa-miR-34b-5p,human nasal mucosa,Microarray,GSE22143
hsa-miR-34c-5p,human nasal mucosa,Microarray,GSE22143
hsa-miR-449a,human nasal mucosa,Microarray,GSE22143
hsa-miR-449b,human nasal mucosa,Microarray,GSE22143
hsa-miR-517a,Huh-7,Microarray,GSE20679
hsa-miR-517a,Huh-7,Microarray,GSE20679
hsa-miR-128,T24,Microarray,GSE24782
hsa-miR-1,HeLa,Microarray,GSE11968
hsa-miR-1,HeLa,Microarray,GSE11968
hsa-miR-218,BOY,Microarray,GSE24782
hsa-miR-1,HeLa,Microarray,GSE11968
hsa-miR-1,HeLa,Microarray,GSE11968
hsa-miR-1,HeLa,Microarray,GSE11968
hsa-miR-874,IMC3,Microarray,GSE24782
hsa-miR-874,IMC3,Microarray,GSE24782
hsa-miR-145,DLD-1,Microarray,GSE18625
hsa-miR-145,DLD-1,Microarray,GSE18625
hsa-miR-132,HEK293T,Microarray,GSE24812
hsa-miR-381,HEK293T,Microarray,GSE24812
hsa-miR-145,DLD-1,Microarray,GSE18625
hsa-miR-193b,Malme-3M,Microarray,GSE18510
hsa-miR-96,KK47,Microarray,GSE26032
hsa-miR-183,KK47,Microarray,GSE26032
hsa-miR-96,KK47,Microarray,GSE26032
hsa-miR-183,KK47,Microarray,GSE26032
hsa-miR-133a,H157,Microarray,GSE26032
hsa-miR-133a,H157,Microarray,GSE26032
hsa-miR-133a,H157,Microarray,GSE26032
hsa-miR-135a,A498,Microarray,GSE26032
hsa-miR-1,HeLa,Microarray,GSE11968
hsa-miR-133a,H157,Microarray,GSE26032
hsa-miR-375,SAS,Microarray,GSE26032
hsa-miR-375,SAS,Microarray,GSE26032
hsa-miR-1,HeLa,Microarray,GSE11968
hsa-miR-133a,H157,Microarray,GSE26032
hsa-miR-1,HeLa,Microarray,GSE11968
hsa-miR-133a,H157,Microarray,GSE26032
hsa-miR-184,SH-SY5Y,Microarray,GSE26545
hsa-miR-487a,SH-SY5Y,Microarray,GSE26545
hsa-miR-34c-5p,human nasal mucosa,Microarray,GSE22143
hsa-miR-299-3p,SH-SY5Y,Microarray,GSE26545
hsa-miR-383,SH-SY5Y,Microarray,GSE26545
hsa-miR-184,SH-SY5Y,Microarray,GSE26545
hsa-miR-487a,SH-SY5Y,Microarray,GSE26545
hsa-miR-34c-5p,human nasal mucosa,Microarray,GSE22143
hsa-miR-299-3p,SH-SY5Y,Microarray,GSE26545
hsa-miR-383,SH-SY5Y,Microarray,GSE26545
hsa-miR-148b,MDA-MB-231,Microarray,GSE26662
hsa-miR-128,T24,Microarray,GSE24782
hsa-miR-7,HEY,Microarray,GSE27431
hsa-miR-142-3p,Raji,Microarray,GSE28456
hsa-miR-1,HeLa,Microarray,GSE11968
hsa-miR-1,HeLa,Microarray,GSE11968
hsa-miR-10a,HEK293T,Microarray,GSE29043
hsa-miR-10b,HEK293T,Microarray,GSE29043
hsa-miR-30a,hMADS.B7,Microarray,GSE29207
hsa-miR-30a,hMADS.B7,Microarray,GSE29207
hsa-miR-30d,hMADS.B7,Microarray,GSE29207
hsa-miR-30d,hMADS.B7,Microarray,GSE29207
hsa-miR-146b,A549,Microarray,GSE29496
hsa-miR-1,HeLa,Microarray,GSE11968
hsa-miR-1,HeLa,Microarray,GSE11968
hsa-miR-1,HeLa,Microarray,GSE11968
hsa-miR-206,LNCaP,Microarray,GSE31620
hsa-miR-27b,LNCaP,Microarray,GSE31620
hsa-miR-124,HeLa,Microarray,GSE11968
hsa-miR-132,HEK293T,Microarray,GSE24812
hsa-miR-380,PDGFRA,Microarray,GSE32876
hsa-miR-433,PDGFRA,Microarray,GSE32876
hsa-miR-448,PDGFRA,Microarray,GSE32876
hsa-miR-302a,PC-3,Microarray,GSE32999
hsa-miR-372,PC-3,Microarray,GSE32999
hsa-miR-530f,PC-3,Microarray,GSE32999
hsa-miR-373,HeLa,Microarray,GSE2075
hsa-miR-520c,PC-3,Microarray,GSE32999
hsa-miR-147,A549,Microarray,GSE33247
hsa-miR-147b,A549,Microarray,GSE33247
hsa-miR-210,HUVEC,Microarray,GSE16962
hsa-miR-182,SNB19,Microarray,GSE33293
hsa-miR-34c-5p,human nasal mucosa,Microarray,GSE22143
hsa-miR-34c-5p,human nasal mucosa,Microarray,GSE22143
hsa-miR-143,DLD-1,Microarray,GSE33420
hsa-miR-9,MCF-7,Microarray,GSE15749
hsa-miR-376a*,SW1783,Microarray,GSE34482
hsa-miR-376a*,SW1783,Microarray,GSE34482
hsa-miR-21,HFL1 fibroblast,Microarray,GSE34815
hsa-miR-199a,HFL1 fibroblast,Microarray,GSE34815
hsa-miR-106b,HCT116,Microarray,GSE12615
hsa-miR-181b,HUVEC,Microarray,GSE35030
hsa-miR-941,HSF2,Microarray,GSE35620
hsa-miR-941,HSF2,Microarray,GSE35620
hsa-miR-941,HSF2,Microarray,GSE35620
hsa-miR-214,H929,Microarray,GSE35948
hsa-miR-181a,HeLa,Microarray,GSE11968
hsa-miR-375,SAS,Microarray,GSE26032
hsa-miR-145,DLD-1,Microarray,GSE18625
hsa-miR-874,IMC3,Microarray,GSE24782
hsa-miR-874,IMC3,Microarray,GSE24782
hsa-miR-31,OVCAR-8 ovarian cancer cell line,Microarray,GSE16700
hsa-miR-222,PC3,Microarray,GSE37119
hsa-miR-375,SAS,Microarray,GSE26032
hsa-miR-375,SAS,Microarray,GSE26032
hsa-miR-1285,A498,Microarray,GSE37119
hsa-miR-1285,A498,Microarray,GSE37119
hsa-miR-206,LNCaP,Microarray,GSE31620
hsa-miR-200c,A498,Microarray,GSE37119
hsa-miR-429,A498,Microarray,GSE37119
hsa-miR-218,BOY,Microarray,GSE24782
hsa-miR-200a,HeLa,Microarray,GSE18545
hsa-miR-200b,A498,Microarray,GSE37119
hsa-miR-141,A498,Microarray,GSE37119
hsa-miR-138,A498,Microarray,GSE37119
hsa-miR-218,BOY,Microarray,GSE24782
hsa-miR-218,BOY,Microarray,GSE24782
hsa-miR-200a,HeLa,Microarray,GSE18545
hsa-miR-200b,A498,Microarray,GSE37119
hsa-miR-200c,A498,Microarray,GSE37119
hsa-miR-141,A498,Microarray,GSE37119
hsa-miR-429,A498,Microarray,GSE37119
hsa-miR-1291,A498,Microarray,GSE37119
hsa-miR-1291,A498,Microarray,GSE37119
hsa-miR-504,FaDu,Microarray,GSE37119
hsa-miR-504,FaDu,Microarray,GSE37119
hsa-miR-107,HeLa,Microarray,GSE37729
hsa-miR-181b,HUVEC,Microarray,GSE35030
hsa-miR-218,BOY,Microarray,GSE24782
hsa-miR-9-3p,HeLa,Microarray,GSE37729
hsa-miR-107,HeLa,Microarray,GSE37729
hsa-miR-181b,HUVEC,Microarray,GSE35030
hsa-miR-218,BOY,Microarray,GSE24782
hsa-miR-181b,HUVEC,Microarray,GSE35030
hsa-miR-198,N/TERT-1,Microarray,GSE37967
hsa-let-7d,fetal lung fibroblast,Microarray,GSE38530
hsa-miR-30b,fetal lung fibroblast,Microarray,GSE38530
hsa-miR-182,SNB19,Microarray,GSE33293
hsa-miR-374a,MCF-7,Microarray,GSE39359
hsa-miR-145,DLD-1,Microarray,GSE18625
hsa-miR-27a,Huh-7.5,Microarray,GSE41737
hsa-miR-137,SW780,Microarray,GSE41760
hsa-miR-32,KYSE30,Microarray,GSE43195
hsa-miR-455,KYSE30,Microarray,GSE43195
hsa-miR-181a,HeLa,Microarray,GSE11968
hsa-miR-181b,HUVEC,Microarray,GSE35030
hsa-miR-139-5p,U87,Microarray,GSE44728
hsa-miR-139-5p,U87,Microarray,GSE44728
hsa-miR-139-5p,U87,Microarray,GSE44728
hsa-miR-145,DLD-1,Microarray,GSE18625
hsa-miR-124,HeLa,Microarray,GSE11968
hsa-let-7a,UCI101,Microarray,GSE12615
hsa-miR-16,HCT116,Microarray,GSE6838
hsa-miR-15a,HCT116,Microarray,GSE6838
hsa-miR-106b,HCT116,Microarray,GSE12615
hsa-miR-15a,HCT116,Microarray,GSE6838
hsa-miR-16,HCT116,Microarray,GSE6838
hsa-miR-192,HCT116,Microarray,GSE13105
hsa-miR-215,HCT116,Microarray,GSE13105
hsa-miR-17-5p,HCT116,Microarray,GSE12615
hsa-miR-20a,HCT116,Microarray,GSE12615
hsa-let-7c,HCT116,Microarray,GSE6838
hsa-miR-195,HCT116,Microarray,GSE6838
hsa-miR-15b,HCT116,Microarray,GSE6838
hsa-miR-103,HCT116,Microarray,GSE6838
hsa-miR-107,HeLa,Microarray,GSE37729
hsa-miR-106b,HCT116,Microarray,GSE12615
hsa-miR-200a,HeLa,Microarray,GSE18545
hsa-miR-141,A498,Microarray,GSE37119
hsa-miR-106b,HCT116,Microarray,GSE12615
hsa-miR-103,HCT116,Microarray,GSE6838
hsa-miR-15a,HCT116,Microarray,GSE6838
hsa-miR-16,HCT116,Microarray,GSE6838
hsa-miR-192,HCT116,Microarray,GSE13105
hsa-miR-215,HCT116,Microarray,GSE13105
hsa-miR-17-5p,HCT116,Microarray,GSE12615
hsa-miR-20a,HCT116,Microarray,GSE12615
hsa-let-7c,HCT116,Microarray,GSE6838
hsa-miR-103,HCT116,Microarray,GSE6838
hsa-miR-16,HCT116,Microarray,GSE6838
hsa-miR-106b,HCT116,Microarray,GSE12615
hsa-let-7b,WERI,Microarray,GSE7185
hsa-miR-34a,K562,Microarray,GSE16674
hsa-miR-34b,HCT116,Microarray,GSE10455
hsa-miR-34c,HCT116,Microarray,GSE10455
hsa-miR-34a,K562,Microarray,GSE16674
hsa-miR-34b,HCT116,Microarray,GSE10455
hsa-miR-34c,HCT116,Microarray,GSE10455
hsa-miR-34a,K562,Microarray,GSE16674
hsa-miR-34b,HCT116,Microarray,GSE10455
hsa-miR-34c,HCT116,Microarray,GSE10455
hsa-miR-34a,K562,Microarray,GSE16674
hsa-miR-34b,HCT116,Microarray,GSE10455
hsa-miR-34c,HCT116,Microarray,GSE10455
hsa-miR-34a,K562,Microarray,GSE16674
hsa-miR-34b,HCT116,Microarray,GSE10455
hsa-miR-34c,HCT116,Microarray,GSE10455
hsa-miR-7,HEY,Microarray,GSE27431
hsa-miR-9,MCF-7,Microarray,GSE15749
hsa-miR-122,HeLa,Microarray,GSE8501
hsa-miR-128,T24,Microarray,GSE24782
hsa-miR-132,HEK293T,Microarray,GSE24812
hsa-miR-133a,H157,Microarray,GSE26032
hsa-miR-142,HeLa,Microarray,GSE8501
hsa-miR-148b,MDA-MB-231,Microarray,GSE26662
hsa-miR-181a,HeLa,Microarray,GSE11968
hsa-miR-181a-1,CD4+,Microarray,GSE9240
hsa-miR-181a-1,CD4+,Microarray,GSE9240
hsa-miR-1,HeLa,Microarray,GSE11968
hsa-miR-124,HeLa,Microarray,GSE11968
hsa-miR-1,HeLa,Microarray,GSE11968
hsa-miR-124,HeLa,Microarray,GSE11968
hsa-miR-7,HEY,Microarray,GSE27431
hsa-miR-124,HeLa,Microarray,GSE11968
hsa-miR-103,HCT116,Microarray,GSE6838
hsa-miR-107,HeLa,Microarray,GSE37729
hsa-miR-15b,HCT116,Microarray,GSE6838
hsa-miR-16,HCT116,Microarray,GSE6838
hsa-miR-195,HCT116,Microarray,GSE6838
hsa-miR-320a,H4,RIP-ChIP,GSE42823
hsa-miR-103,HCT116,Microarray,GSE6838
hsa-miR-107,HeLa,Microarray,GSE37729
hsa-miR-15b,HCT116,Microarray,GSE6838
hsa-miR-16,HCT116,Microarray,GSE6838
hsa-miR-195,HCT116,Microarray,GSE6838
hsa-miR-320a,H4,RIP-ChIP,GSE42823
hsa-miR-202,HeLa,RIP-Chip,GSE42981
hsa-miR-195,HCT116,Microarray,GSE6838
hsa-miR-497,HepG2,RIP-Seq,GSE41074
hsa-miR-195,HCT116,Microarray,GSE6838
hsa-miR-497,HepG2,RIP-Seq,GSE41074
hsa-miR-23b,MCF-7,RNA-Seq,GSE37918
hsa-miR-155,CCL153,Microarray,GSE14477
hsa-miR-1,HeLa,Microarray,GSE11968
hsa-miR-155,CCL153,Microarray,GSE14477
hsa-miR-1,HeLa,Microarray,GSE11968
